host,variant,run,rule,real_F1,reproduced,chosen_mask,chosen_tau,chosen_lambda
SimulatedW10,TGN_fullz,1,minor_tau1,0.9499,True,,,
SimulatedW10,TGN_fullz,1,significant_tau100,0.0,True,,,
SimulatedW10,TGN_fullz,1,critical_tau1000,0.0,True,,,
SimulatedW10,TGN_fullz,1,mask_FILE_tau10,0.0,True,,,
SimulatedW10,TGN_fullz,1,mask_NET_tau10,0.0,True,,,
SimulatedW10,TGN_fullz,1,mask_PROCESS_tau10,0.9969,True,,,
SimulatedW10,TGN_fullz,1,mask_PROCESS_tau1,0.9583,True,,,
SimulatedW10,TGN_fullz,1,oracle_prefix,0.9969,True,,,
SimulatedW10,TGN_fullz,1,topk5,0.9612,True,,,
SimulatedW10,TGN_fullz,1,topk10,0.9499,True,,,
SimulatedW10,TGN_fullz,1,topk15,0.9499,True,,,
SimulatedW10,TGN_fullz,1,topk20,0.9499,True,,,
SimulatedW10,TGN_fullz,1,outlier_grubbs,0.9969,True,,,
SimulatedW10,TGN_fullz,1,outlier_zscore,0.9969,True,,,
SimulatedW10,TGN_fullz,1,outlier_iqr,0.9969,True,,,
SimulatedW10,TGN_fullz,2,default_tau10,0.9969,True,,,
SimulatedW10,TGN_fullz,2,minor_tau1,0.9253,True,,,
SimulatedW10,TGN_fullz,2,significant_tau100,0.0,True,,,
SimulatedW10,TGN_fullz,2,critical_tau1000,0.0,True,,,
SimulatedW10,TGN_fullz,2,mask_FILE_tau10,0.0,True,,,
SimulatedW10,TGN_fullz,2,mask_NET_tau10,0.0,True,,,
SimulatedW10,TGN_fullz,2,mask_PROCESS_tau10,0.9969,True,,,
SimulatedW10,TGN_fullz,2,mask_PROCESS_tau1,0.9415,True,,,
SimulatedW10,TGN_fullz,2,oracle_prefix,0.9969,True,,,
SimulatedW10,TGN_fullz,2,topk5,0.9583,True,,,
SimulatedW10,TGN_fullz,2,topk10,0.928,True,,,
SimulatedW10,TGN_fullz,2,topk15,0.9253,True,,,
SimulatedW10,TGN_fullz,2,topk20,0.9253,True,,,
SimulatedW10,TGN_fullz,2,outlier_grubbs,0.967,True,,,
SimulatedW10,TGN_fullz,2,outlier_zscore,0.9969,True,,,
SimulatedW10,TGN_fullz,2,outlier_iqr,0.9969,True,,,
SimulatedW10,TGN_fullz,0,loocv_tau,0.9969,True,,8.191681705,
SimulatedW10,TGN_fullz,0,loocv_mask,0.9969,True,PROCESS,8.191681705,
SimulatedW10,TGN_fullz,0,loocv_lambda,0.9969,True,PROCESS,8.191681705,0.0
SimulatedW10,TGN_fullz,1,loocv_tau,0.9969,True,,8.191681705,
SimulatedW10,TGN_fullz,1,loocv_mask,0.9969,True,PROCESS,8.191681705,
SimulatedW10,TGN_fullz,1,loocv_lambda,0.9969,True,PROCESS,8.191681705,0.0
SimulatedW10,TGN_fullz,2,loocv_tau,0.9583,True,,2.48075595,
SimulatedW10,TGN_fullz,2,loocv_mask,0.9583,True,PROCESS,2.3246632099999998,
SimulatedW10,TGN_fullz,2,loocv_lambda,0.9583,True,PROCESS,2.3246632099999998,0.0
SimulatedW10,released,0,default_tau10,0.9699,True,,,
SimulatedW10,released,0,minor_tau1,0.9527,True,,,
SimulatedW10,released,0,significant_tau100,0.0,True,,,
SimulatedW10,released,0,critical_tau1000,0.0,True,,,
SimulatedW10,released,0,mask_FILE_tau10,0.0,True,,,
SimulatedW10,released,0,mask_PROCESS_tau10,0.9699,True,,,
SimulatedW10,released,0,mask_PROCESS_tau1,0.9612,True,,,
SimulatedW10,released,0,oracle_prefix,0.9699,True,,,
SimulatedW10,released,0,topk5,0.9527,True,,,
SimulatedW10,released,0,topk10,0.9527,True,,,
SimulatedW10,released,0,topk15,0.9527,True,,,
SimulatedW10,released,0,topk20,0.9527,True,,,
SimulatedW10,released,0,outlier_grubbs,0.9699,True,,,
SimulatedW10,released,0,outlier_zscore,0.9699,True,,,
SimulatedW10,released,0,outlier_iqr,0.9699,True,,,
SimulatedWS12,fullz,0,default_tau10,0.0,True,,,
SimulatedWS12,fullz,0,minor_tau1,0.5175,True,,,
SimulatedWS12,fullz,0,significant_tau100,0.0,True,,,
SimulatedWS12,fullz,0,critical_tau1000,0.0,True,,,
SimulatedWS12,fullz,0,mask_FILE_tau10,0.0,True,,,
SimulatedWS12,fullz,0,mask_NET_tau10,0.0,True,,,
SimulatedWS12,fullz,0,mask_PROCESS_tau10,0.0,True,,,
SimulatedWS12,fullz,0,mask_PROCESS_tau1,0.8506,True,,,
SimulatedWS12,fullz,0,oracle_prefix,0.5692,True,,,
SimulatedWS12,fullz,0,topk5,0.5286,True,,,
SimulatedWS12,fullz,0,topk10,0.5175,True,,,
SimulatedWS12,fullz,0,topk15,0.5175,True,,,
SimulatedWS12,fullz,0,topk20,0.5175,True,,,
SimulatedWS12,fullz,0,outlier_grubbs,0.5692,True,,,
SimulatedWS12,fullz,0,outlier_zscore,0.0,True,,,
SimulatedWS12,fullz,0,outlier_iqr,0.0,True,,,
SimulatedWS12,fullz,1,default_tau10,0.016,True,,,
SimulatedWS12,fullz,1,minor_tau1,0.3979,True,,,
